id,name,description
project_categ_1,"Schools , Training & Dormitory Project",
project_categ_2,Rays of Youth,
project_categ_3,Health & Medical Project,
project_categ_4,Community & Income Generation Project,
project_categ_5,Food and Agriculture,
project_categ_6,Child Protection,
project_categ_7,Project Management,
