id,name,description
project_categ_1,"Schools , Training & Dormitory Project - โครงการการศึกษา",
project_categ_2,Rays of Youth - โครงการเยาวชน,
project_categ_3,Health & Medical Project -โครงการสุขภาพ,
project_categ_4,Community & Income Generation Project - งานชุมชนและสร้างรายได้,
project_categ_5,Food and Agriculture - อาหาร เกษตร,
project_categ_6,Child Protection - โครงการปกป้องคุ้มครองเด็ก,
project_categ_7,Project Management - จัดการโครงการ,
